"OPERADORA","NUMERO DO VOO","DESTINO","DATA", "HORARIO PREVISTO", "HORARIO CONFIRMADO","STATUS"
"TAM","03192","SP - Congonhas,"15/03","14:35","14:35","Cancelado"
"AZUL","04684","Campinas,"15/03","14:45","14:45","Confirmado"
"AZUL","04741","SP - Guarulhos,"15/03","17:35","- -","Previsto"
"TAM","03129","SP - Congonhas,"15/03","18:30","- -","Previsto"
"AZUL","04312","Campinas,"15/03","18:45","- -","Previsto"
"GOL","01214","SP - Guarulhos,"15/03","19:00","- -","Previsto"
"TAM","03439","SP - Guarulhos,"15/03","19:15","- -","Previsto"
"AZUL","04786","Campinas,"15/03","20:10","- -","Previsto"
"AZUL","04067","Foz do Iguaçu,"15/03","21:00","- -","Previsto"
"AZUL","04832","SP - Guarulhos,"15/03","21:20","- -","Previsto"
"AZUL","04821","Porto Alegre,"15/03","21:25","- -","Previsto"
"TAM","03032","Brasília,"15/03","22:35","- -","Previsto"
"GOL","01820","Brasília,"15/03","22:40","- -","Previsto"
"AZUL","04314","Campinas,"15/03","23:05","- -","Previsto"
"AZUL","04022","Porto Alegre,"15/03","23:15","- -","Previsto"
"GOL","04118","SP - Guarulhos,"15/03","23:20","- -","Previsto"
"TAM","03404","SP - Guarulhos,"16/03","00:05","- -","Previsto"
"AZUL","04314","Campinas,"16/03","00:55","- -","Previsto"
"AZUL","04018","Foz do Iguaçu,"16/03","07:05","- -","Previsto"
"TAM","03286","SP - Guarulhos,"16/03","08:30","- -","Previsto"
"TAM","03164","SP - Congonhas,"16/03","08:50","- -","Previsto"
"AZUL","04024","Porto Alegre,"16/03","09:20","- -","Previsto"
"AZUL","04064","Campinas,"16/03","09:45","- -","Previsto"
"AZUL","04826","SP - Guarulhos,"16/03","09:50","- -","Previsto"
"GOL","01212","SP - Guarulhos,"16/03","10:05","- -","Previsto"
"AZUL","04058","Campinas,"16/03","12:15","- -","Previsto"
